model,question_id,grade,topic,subtopic,difficulty,question,choices,correct_option,answer_value,solution_steps,answer_expression,source_chunks,retrieved_context_texts,math_checker_pass,latency_sec,cost_usd,note
GPT-4o-mini,1,4,penjumlahan_pengurangan,penjumlahan dan pengurangan bilangan bulat,mudah,"Di dalam kotak terdapat 45 apel. Jika 17 apel diambil, berapa banyak apel yang tersisa di dalam kotak?","[""A. 28"", ""B. 30"", ""C. 25"", ""D. 22""]",A,28,"[""Langkah 1: Hitung jumlah apel yang diambil, yaitu 17."", ""Langkah 2: Kurangi jumlah apel awal dengan jumlah apel yang diambil, yaitu 45 - 17.""]",45 - 17,[],[],True,3.63,0.00016,baseline_no_pipeline
GPT-4o-mini,2,4,kpk_fpb,FPB,mudah,"Dari dua bilangan 24 dan 36, berapakah Faktor Persekutuan Terbesarnya (FPB)?","[""A. 12"", ""B. 18"", ""C. 6"", ""D. 24""]",A,12,"[""Langkah 1: Cari faktor dari 24. Faktor dari 24 adalah 1, 2, 3, 4, 6, 8, 12, 24."", ""Langkah 2: Cari faktor dari 36. Faktor dari 36 adalah 1, 2, 3, 4, 6, 9, 12, 18, 36. FPB adalah faktor terbesar yang sama dari kedua bilangan, yaitu 12.""]","FPB(24, 36) = 12",[],[],False,4.03,0.0002,baseline_no_pipeline
GPT-4o-mini,3,4,pecahan,penjumlahan pecahan,mudah,"Jika 1/4 ditambah 1/4, berapa hasilnya?","[""A. 1/2"", ""B. 1/4"", ""C. 2/4"", ""D. 3/4""]",A,1/2,"[""Langkah 1: Jumlahkan pembilang dari kedua pecahan. 1 + 1 = 2."", ""Langkah 2: Pecahan tetap memiliki penyebut yang sama, yaitu 4. Jadi, hasilnya adalah 2/4.""]",2/4 = 1/2,[],[],True,3.05,0.00017,baseline_no_pipeline
GPT-4o-mini,4,4,penjumlahan_pengurangan,penjumlahan dan pengurangan bilangan bulat,sulit,"Sebuah toko menjual 250 buah mainan. Pada hari pertama, 75 buah mainan terjual. Pada hari kedua, toko tersebut menerima tambahan 120 buah mainan. Berapa banyak mainan yang ada di toko setelah hari kedua?","[""A. 295"", ""B. 245"", ""C. 200"", ""D. 315""]",A,295,"[""Hitung jumlah mainan yang terjual setelah hari pertama: 250 - 75 = 175."", ""Hitung jumlah mainan setelah menerima tambahan: 175 + 120 = 295.""]",250 - 75 + 120,[],[],True,3.37,0.00018,baseline_no_pipeline
GPT-4o-mini,5,4,pengolahan_data,diagram batang,mudah,"Sebuah kelas memiliki 30 siswa. Berikut adalah jumlah siswa yang menyukai berbagai jenis olahraga: Sepak Bola: 12, Basket: 8, Renang: 6, dan Badminton: 4. Berapa persen siswa yang menyukai Sepak Bola?","[""A. 40%"", ""B. 30%"", ""C. 50%"", ""D. 20%""]",A,40%,"[""Hitung persentase siswa yang menyukai Sepak Bola dengan rumus: (jumlah siswa yang menyukai Sepak Bola / total siswa) x 100%."", ""Substitusi nilai: (12 / 30) x 100% = 40%.""]",(12 / 30) x 100%,[],[],False,4.7,0.00018,baseline_no_pipeline
GPT-4o-mini,6,4,aritmetika_sosial,penjumlahan dan pengurangan,sedang,"Di sebuah toko, terdapat 120 buku. Setelah menjual 45 buku, toko tersebut membeli lagi 30 buku. Berapa jumlah buku yang ada di toko sekarang?","[""A. 105"", ""B. 115"", ""C. 95"", ""D. 125""]",A,105,"[""Langkah 1: Hitung jumlah buku setelah penjualan. 120 - 45 = 75 buku."", ""Langkah 2: Tambahkan buku yang dibeli. 75 + 30 = 105 buku.""]",120 - 45 + 30,[],[],True,3.44,0.00017,baseline_no_pipeline
GPT-4o-mini,7,4,bilangan,penjumlahan dan pengurangan,mudah,Siti memiliki 25 apel dan dia membeli 17 apel lagi. Berapa banyak apel yang dimiliki Siti sekarang?,"[""A. 42"", ""B. 40"", ""C. 39"", ""D. 45""]",A,42,"[""Langkah 1: Jumlahkan apel yang dimiliki Siti dengan apel yang dibeli. 25 + 17."", ""Langkah 2: Hitung hasil penjumlahan tersebut.""]",25 + 17 = 42,[],[],True,3.34,0.00016,baseline_no_pipeline
GPT-4o-mini,8,4,penjumlahan_pengurangan,penjumlahan,mudah,Siti memiliki 25 kelereng. Dia membeli 15 kelereng lagi. Berapa jumlah kelereng Siti sekarang?,"[""A. 40"", ""B. 35"", ""C. 50"", ""D. 30""]",A,40,"[""Langkah 1: Hitung jumlah kelereng yang dimiliki Siti setelah membeli kelereng baru dengan menjumlahkan 25 dan 15."", ""Langkah 2: 25 + 15 = 40. Jadi, jumlah kelereng Siti sekarang adalah 40.""]",25 + 15,[],[],True,3.17,0.00017,baseline_no_pipeline
GPT-4o-mini,9,4,pecahan,penjumlahan pecahan,sulit,"Jika 3/8 dari sebuah kue telah dimakan dan kemudian 1/4 dari sisa kue tersebut dimakan lagi, berapa bagian kue yang tersisa?","[""A. 15/32"", ""B. 1/2"", ""C. 3/8"", ""D. 7/32""]",A,15/32,"[""Hitung sisa kue setelah 3/8 dimakan: 1 - 3/8 = 5/8."", ""Hitung bagian kue yang dimakan dari sisa: 1/4 x 5/8 = 5/32. Kemudian, hitung sisa kue: 5/8 - 5/32.""]",5/8 - 5/32,[],[],True,4.09,0.00019,baseline_no_pipeline
GPT-4o-mini,10,4,aritmetika_sosial,penjumlahan dan pengurangan,mudah,"Di sebuah taman, terdapat 150 pohon mangga dan 75 pohon jambu. Berapa jumlah total pohon di taman tersebut?","[""A. 225"", ""B. 200"", ""C. 175"", ""D. 250""]",A,225,"[""Langkah 1: Jumlahkan pohon mangga dan pohon jambu."", ""Langkah 2: 150 + 75 = 225.""]",150 + 75,[],[],True,3.61,0.00016,baseline_no_pipeline
