model,question_id,grade,topic,subtopic,difficulty,question,choices,correct_option,answer_value,solution_steps,answer_expression,source_chunks,retrieved_context_texts,math_checker_pass,latency_sec,note
Qwen2.5-7B-INT4,1,4,penjumlahan_pengurangan,penjumlahan_sederhana,mudah,Andi memiliki 15 buku. Ia membeli 7 buku lagi. Berapa banyak buku Andi sekarang?,"[""A. 20"", ""B. 22"", ""C. 24"", ""D. 26""]",B,22,"[""Langkah pertama, kita perlu menambah jumlah buku yang Andi miliki dengan jumlah buku yang dibeli."", ""Jadi, 15 + 7 = 22.""]",22,[],[],True,15.21,baseline_no_pipeline
Qwen2.5-7B-INT4,2,4,KPK dan FPB,Pengenalan KPK dan FPB,mudah,"Dari dua bilangan 6 dan 8, berapakah KPK dari kedua bilangan tersebut?","[""A. 12"", ""B. 16"", ""C. 24"", ""D. 32""]",C,24,"[""Langkah pertama adalah menulis faktorisasi prima dari setiap bilangan."", ""Faktorisasi prima dari 6 adalah 2 x 3.""]","KPK(6, 8) = 24",[],[],False,15.4,baseline_no_pipeline
Qwen2.5-7B-INT4,3,4,pecahan,penjumlahan pecahan dengan penyebut sama,mudah,Andi memiliki 3/8 dari sebuah buku. Siti memiliki 2/8 dari buku yang sama. Berapa pecahan dari buku tersebut yang dimiliki Andi dan Siti bersama-sama?,"[""A. 3/8"", ""B. 5/8"", ""C. 7/8"", ""D. 6/8""]",B,5,"[""Langkah pertama, kita menambah numerasi kedua pecahan: 3/8 + 2/8."", ""Kedua pecahan memiliki penyebut yang sama, jadi kita hanya perlu menambahkan numerasinya: 3 + 2 = 5.""]",5/8,[],[],False,18.02,baseline_no_pipeline
Qwen2.5-7B-INT4,4,4,penjumlahan pengurangan,operasi campuran,sulit,"Sebuah toko menjual 120 buku. Setelah menjual 3/5 dari jumlah buku tersebut, mereka membeli lagi 75 buku. Berapa banyak buku yang dimiliki toko tersebut sekarang?","[""A. 93 buku"", ""B. 123 buku"", ""C. 193 buku"", ""D. 223 buku""]",B,123,"[""Hitung jumlah buku yang terjual: 120 buku x 3/5 = 72 buku"", ""Kurangi jumlah buku terjual dari jumlah awal: 120 buku - 72 buku = 48 buku"", ""Tambahkan jumlah buku baru yang dibeli: 48 buku + 75 buku = 123 buku""]",123 buku,[],[],False,22.1,baseline_no_pipeline
Qwen2.5-7B-INT4,5,4,pengolahan_data,pemetaan,mudah,"Dari 30 siswa kelas 4 SD, 15 siswa suka buah apel, 10 siswa suka buah anggur, dan sisanya suka buah jeruk. Berapa banyak siswa yang suka buah jeruk?","[""A. 10"", ""B. 15"", ""C. 20"", ""D. 5""]",D,5,"[""Total jumlah siswa = 30"", ""Siswa yang suka apel = 15, siswa yang suka anggur = 10, maka jumlah siswa yang suka apel dan anggur = 15 + 10 = 25""]",30 - 25 = 5,[],[],True,19.06,baseline_no_pipeline
Qwen2.5-7B-INT4,6,4,aritmetika sosial,pembagian uang,sedang,"Andi memiliki uang Rp 120.000,00 untuk membeli buku dan pensil. Setelah membeli 3 buah buku dengan harga masing-masing Rp 25.000,00 dan 5 buah pensil dengan harga masing-masing Rp 2.000,00, berapa uang yang masih tersisa milik Andi?","[""A. Rp 40.000,00"", ""B. Rp 35.000,00"", ""C. Rp 45.000,00"", ""D. Rp 50.000,00""]",B,35000,"[""Hitung total biaya pembelian buku: 3 buah buku x Rp 25.000,00 = Rp 75.000,00"", ""Hitung total biaya pembelian pensil: 5 buah pensil x Rp 2.000,00 = Rp 10.000,00""]","Rp 35.000,00",[],[],False,26.07,baseline_no_pipeline
Qwen2.5-7B-INT4,7,4,Bilangan,Penjumlahan bilangan bulat,mudah,Andi memiliki 15 buku. Ia membeli 7 buku lagi. Berapa jumlah buku Andi sekarang?,"[""A. 20"", ""B. 22"", ""C. 24"", ""D. 26""]",B,22,"[""Langkah pertama, kita perlu menambah jumlah buku yang sudah dimiliki oleh Andi dengan jumlah buku yang dibeli."", ""Jadi, 15 + 7 = 22.""]",22,[],[],True,15.03,baseline_no_pipeline
Qwen2.5-7B-INT4,8,4,penjumlahan pengurangan,operasi campuran,mudah,"Sebuah toko menjual buku seharga Rp 2.500 per buku dan pensil seharga Rp 1.200 per buku. Jika Ika membeli 3 buku dan 2 pensil, berapa uang yang harus dikeluarkan Ika?","[""A. Rp 8.700"", ""B. Rp 9.900"", ""C. Rp 10.200"", ""D. Rp 11.100""]",B,9900,"[""Hitung biaya untuk 3 buku: 3 × 2.500 = 7.500"", ""Hitung biaya untuk 2 pensil: 2 × 1.200 = 2.400"", ""Tambahkan biaya buku dan pensil: 7.500 + 2.400 = 9.900""]",Rp 9.900,[],[],False,22.96,baseline_no_pipeline
Qwen2.5-7B-INT4,9,4,Pecahan,Penjumlahan pecahan dengan penyebut berbeda,sulit,"Sebuah pizza dipotong menjadi 8 bagian sama besar. Jika Ali makan 3/8 dari pizza dan Budi makan 2/5 dari pizza, berapa pecahan pizza yang telah dimakan oleh Ali dan Budi bersama-sama?","[""A. 27/40"", ""B. 28/40"", ""C. 29/40"", ""D. 30/40""]",C,29/40,"[""Langkah 1: Cari KPK dari penyebut pecahan 8 dan 5, yaitu 40."", ""Langkah 2: Ubah pecahan 3/8 dan 2/5 menjadi pecahan dengan penyebut 40. 3/8 = 15/40 dan 2/5 = 16/40.""]",Ali dan Budi telah memakan 29/40 dari pizza bersama-sama.,[],[],False,22.64,baseline_no_pipeline
Qwen2.5-7B-INT4,10,4,aritmetika sosial,pengelompokan data,mudah,"Sinta membuat kue untuk acara ulang tahun. Dia membuat 15 kue keju, 10 kue choco, dan 5 kue pandan. Berapa persen kue choco dibandingkan total kue yang dibuat?","[""A. 25%"", ""B. 30%"", ""C. 33,33%"", ""D. 50%""]",C,"33,33","[""Hitung total kue yang dibuat: 15 + 10 + 5 = 30 kue"", ""Hitung persen kue choco: (10 / 30) × 100 = 33,33%""]","33,33%",[],[],False,43.57,baseline_no_pipeline
